id;code;name;description;is_active
1;bind once;striking;../fake-data/blob/hipster.txt;true
2;certify readjust;oddball a;../fake-data/blob/hipster.txt;false
3;puny battle adolescent;dramatic;../fake-data/blob/hipster.txt;false
4;how;phooey under as;../fake-data/blob/hipster.txt;false
5;supposing statement;capitalize;../fake-data/blob/hipster.txt;true
6;consequently;manage;../fake-data/blob/hipster.txt;true
7;yuck amidst;finally as blah;../fake-data/blob/hipster.txt;true
8;recklessly dandelion to;dowse inasmuch;../fake-data/blob/hipster.txt;true
9;who birdcage ew;substitution once;../fake-data/blob/hipster.txt;true
10;till;resource instead;../fake-data/blob/hipster.txt;true
