id;origin_url;title;slug;summary;content;content_raw;thumbnail;status;published_at;view_count
1;thankfully;sleepily;gym unless unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;foretell;DRAFT;2025-11-08T15:01:30;13107
2;successfully times request;yum indeed;upward under;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bogus;PENDING;2025-11-09T09:57:09;8838
3;boulevard anneal;phew yahoo;unlike suckle lazily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sandy how intermix;REMOVED;2025-11-09T04:34:11;1048
4;snuggle sunny beside;compromise among buttery;aha;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hopelessly;PENDING;2025-11-09T11:31:49;31558
5;repeatedly around serpentine;times however;judgementally rigidly whoever;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;loaf optimistically unfortunately;PENDING;2025-11-08T12:31:34;14775
6;broadly really;sway graceful afore;before wherever;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;quinoa;PUBLISHED;2025-11-09T05:15:04;27029
7;since yuck;mallard;yieldingly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;knife limply whoever;PENDING;2025-11-08T19:57:15;28582
8;sans abnegate minus;after nor;after;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;modulo readjust courageous;DRAFT;2025-11-08T17:56:13;28610
9;unfortunately;elevation why mutate;nor phew;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;incidentally;REMOVED;2025-11-09T04:03:41;23432
10;perfumed triumphantly;decide;besides defiantly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;compete almighty;PENDING;2025-11-09T03:49:27;18494
