id;code;name;contact_email;contact_phone;max_users;status
1;past;which;nutritious;sweet cruel;169;ACTIVE
2;pish moist;paintwork;blah;concerning outlaw pace;19085;SUSPENDED
3;woot;nasalise tabulate pish;shoddy hydrant oof;extroverted;23588;SUSPENDED
4;boggle;amend at custody;versus;jell cake;14806;SUSPENDED
5;whose;suffice whopping scornful;circa ha ah;deeply blindly communicate;2745;ACTIVE
6;lazily;ferociously deselect circa;vaguely;knowingly personal;30944;ACTIVE
7;for even;what spark round;stable;than and;17367;ACTIVE
8;less crystallize incidentally;geez;unwelcome accurate;gee redraw sleepily;22853;SUSPENDED
9;jiggle;anenst after;verbally forenenst;circa usually ha;18748;SUSPENDED
10;list;vice meh;eek;conceal;32162;ACTIVE
